EntrezID	GeneSymbol	Score	Druggble_rank
55971	BAIAP2L1	0.113957	
83939	EIF2A	0.113917	
4115	MAGEB4	0.113831	
23196	FAM120A	0.113815	
64207	IRF2BPL	0.113631	
2100	ESR2	0.113437	14
54596	L1TD1	0.113153	
9112	MTA1	0.112897	
9057	SLC7A6	0.112834	
5698	PSMB9	0.112776	
51479	ANKFY1	0.112746	
51433	ANAPC5	0.112674	
55922	NKRF	0.112589	
10549	PRDX4	0.112588	
55177	RMDN3	0.112545	
6407	SEMG2	0.112463	
10286	BCAS2	0.112454	
55227	LRRC1	0.112428	
285464	CRIPAK	0.112403	
57504	MTA3	0.112396	
1826	DSCAM	0.112339	
7709	ZBTB17	0.112327	
904	CCNT1	0.112251	
2273	FHL1	0.112213	
27309	ZNF330	0.112158	
23122	CLASP2	0.112082	
64968	MRPS6	0.111950	
5813	PURA	0.111920	
727851	RGPD8	0.111865	
440675		0.111755	
5457	POU4F1	0.111660	
79746	ECHDC3	0.111654	
58517	RBM25	0.111645	
29931		0.111486	
57541	ZNF398	0.111486	
85316	BAGE5	0.111486	
150135		0.111486	
219293	ATAD3C	0.111486	
64806	IL25	0.111484	
5992	RFX4	0.111372	
51663	ZFR	0.111337	
7153	TOP2A	0.111172	15
117581	TWIST2	0.111117	
51373	MRPS17	0.110936	
54020	SLC37A1	0.110907	
22899	ARHGEF15	0.110863	
57418	WDR18	0.110715	
9648	GCC2	0.110667	
7799	PRDM2	0.110472	
5020	OXT	0.110429	16
9611	NCOR1	0.110082	
5956	OPN1LW	0.109950	
2063	NR2F6	0.109893	
23644	EDC4	0.109709	
57669	EPB41L5	0.109705	
9620	CELSR1	0.109687	
116461	TSEN15	0.109619	
10463	SLC30A9	0.109600	
90390	MED30	0.109239	
220164	DOK6	0.109197	
3670	ISL1	0.109032	
2872	MKNK2	0.109018	
10025	MED16	0.108838	
5814	PURB	0.108777	
4861	NPAS1	0.108707	
6094	ROM1	0.108605	
8241	RBM10	0.108561	
55062	WIPI1	0.108363	
4547	MTTP	0.108242	17
9166	EBAG9	0.108240	
85378	TUBGCP6	0.108186	
374569	ASPG	0.107975	
11214	AKAP13	0.107911	
51132	RLIM	0.107760	
55144	LRRC8D	0.107690	
57530	CGN	0.107674	
100131261		0.107649	
5961	PRPH2	0.107555	
55505	NOP10	0.107502	
79009	DDX50	0.107392	
84311	MRPL45	0.107376	
678	ZFP36L2	0.107303	
3196	TLX2	0.107303	
65055	REEP1	0.107303	
55634	KRBOX4	0.107126	
1880	GPR183	0.106851	
23533	PIK3R5	0.106807	
23165	NUP205	0.106736	
5433	POLR2D	0.106477	
2046	EPHA8	0.106292	
27141	CIDEB	0.106238	
10912	GADD45G	0.106167	
55806	HR	0.106140	
23788	MTCH2	0.106070	
51474	LIMA1	0.105897	
8085	KMT2D	0.105824	
8431	NR0B2	0.105611	
9601	PDIA4	0.105580	
9329	GTF3C4	0.105508	
54145		0.105501	
1032	CDKN2D	0.105489	
9326	ZNHIT3	0.105195	
64756	ATPAF1	0.105043	
91647	ATPAF2	0.105043	
3065	HDAC1	0.105018	18
54965	PIGX	0.105007	
729608		0.104995	
10951	CBX1	0.104947	
405	ARNT	0.104807	
6348	CCL3	0.104794	
3346	HTN1	0.104344	
2976	GTF3C2	0.104103	
29915	HCFC2	0.103853	
9969	MED13	0.103691	
54554	WDR5B	0.103611	
10069	RWDD2B	0.103520	
8204	NRIP1	0.103494	19
170463	SSBP4	0.103062	
171177	RHOV	0.102971	
3310	HSPA6	0.102889	
84643	KIF2B	0.102860	
9814	SFI1	0.102711	
25959	KANK2	0.102626	
731605		0.102615	
7031	TFF1	0.102533	
10902	BRD8	0.102259	
3898	LAD1	0.102088	
117246	FTSJ3	0.101934	
90480	GADD45GIP1	0.101890	
9758	FRMPD4	0.101826	
84443	FRMPD3	0.101826	
9439	MED23	0.101811	
64393	ZMAT3	0.101509	
4604	MYBPC1	0.101344	
728400	USP17L28	0.101341	
10528	NOP56	0.101268	
7737	RNF113A	0.101240	
4926	NUMA1	0.101167	
56751	BARHL1	0.101081	
79637	ARMC7	0.101022	
133522	PPARGC1B	0.100878	
10212	DDX39A	0.100873	
5458	POU4F2	0.100871	
4435	CITED1	0.100811	
1655	DDX5	0.100787	
122970	ACOT4	0.100745	
150383	CDPF1	0.100745	
9699	RIMS2	0.100640	
3266	ERAS	0.100548	
26025		0.100528	
27330	RPS6KA6	0.100528	
54467	ANKIB1	0.100528	
8563	THOC5	0.100401	
23367	LARP1	0.100344	
9612	NCOR2	0.100197	
89	ACTN3	0.100107	
10891	PPARGC1A	0.100056	
57631	LRCH2	0.100055	
2099	ESR1	0.099950	20
64855	FAM129B	0.099908	
80152	CENPT	0.099849	
10401	PIAS3	0.099750	
6294	SAFB	0.099491	
225	ABCD2	0.099486	
4685	NCAM2	0.099470	
1374	CPT1A	0.099457	21
65095	KRI1	0.099412	
374618	TEX9	0.099372	
5989	RFX1	0.098937	
7169	TPM2	0.098759	
6525	SMTN	0.098691	
65266	WNK4	0.098678	
10270	AKAP8	0.098664	
54512	EXOSC4	0.098636	
51363	CHST15	0.098627	
63897	HEATR6	0.098576	
6493	SIM2	0.098465	
654	BMP6	0.098457	
1749	DLX5	0.098373	
5469	MED1	0.098351	22
9794	MAML1	0.098237	
7155	TOP2B	0.098201	23
51065	RPS27L	0.098029	
9667	SAFB2	0.098019	
7025	NR2F1	0.097930	
79228	THOC6	0.097881	
9705	ST18	0.097818	
6604	SMARCD3	0.097764	
55173	MRPS10	0.097656	
23421	ITGB3BP	0.097564	
6780	STAU1	0.097554	
190	NR0B1	0.097387	24
2802	GOLGA3	0.097257	
7533	YWHAH	0.097171	
905	CCNT2	0.097136	
23054	NCOA6	0.096913	
6618	SNAPC2	0.096892	
54457	TAF7L	0.096892	
4350	MPG	0.096656	
64599	GIGYF1	0.096550	
100130633		0.096456	
55168	MRPS18A	0.096373	
7080	NKX2-1	0.096313	
1627	DBN1	0.096189	
7941	PLA2G7	0.096148	25
5707	PSMD1	0.096011	26
9325	TRIP4	0.095857	
11177	BAZ1A	0.095747	
57473	ZNF512B	0.095370	
10499	NCOA2	0.095369	27
389840	MAP3K15	0.095243	
6273	S100A2	0.095197	28
404672	GTF2H5	0.095062	
4204	MECP2	0.094861	
9244	CRLF1	0.094599	
6191	RPS4X	0.094567	
1031	CDKN2C	0.094525	
54881	TEX10	0.094396	
6890	TAP1	0.094371	29
506	ATP5B	0.094346	30
51617		0.094342	
100131863		0.094259	
51125	GOLGA7	0.094222	
93183	PIGM	0.094096	
1854	DUT	0.093939	31
9070	ASH2L	0.093929	
84164	ASCC2	0.093827	
8575	PRKRA	0.093805	
139324	HDX	0.093796	
6670	SP3	0.093791	
642513		0.093736	
5929	RBBP5	0.093727	
2647	BLOC1S1	0.093468	
1746	DLX2	0.093400	
84193	SETD3	0.093372	
5467	PPARD	0.093323	32
6881	TAF10	0.092988	
8125	ANP32A	0.092961	
645402		0.092924	
23358	USP24	0.092913	
27044	SND1	0.092844	
5669	PSG1	0.092790	
154664	ABCA13	0.092514	
161882	ZFPM1	0.092403	
5914	RARA	0.092400	33
4588	MUC6	0.092399	
200504	GKN2	0.092399	
10691	GMEB1	0.092385	
3164	NR4A1	0.092377	
81887	LAS1L	0.092309	
58513	EPS15L1	0.092303	
23450	SF3B3	0.092297	
25836	NIPBL	0.092002	
6095	RORA	0.091997	34
4736	RPL10A	0.091810	
79071	ELOVL6	0.091776	
643167		0.091705	
6610	SMPD2	0.091685	
6949	TCOF1	0.091679	
4642	MYO1D	0.091660	35
81608	FIP1L1	0.091320	
150483	TEKT4	0.091128	
5984	RFC4	0.091063	
8497	PPFIA4	0.090747	
9342	SNAP29	0.090487	
8202	NCOA3	0.090473	
30849	PIK3R4	0.090408	
63951	DMRTA1	0.090234	
8455	ATRN	0.090195	
10587	TXNRD2	0.090094	
152206	CCDC13	0.090081	
81857	MED25	0.090072	
23314	SATB2	0.089637	
54460	MRPS21	0.089605	
6195	RPS6KA1	0.089533	36
11187	PKP3	0.089528	
9600	PITPNM1	0.089483	
133396	IL31RA	0.089444	
3800	KIF5C	0.089302	
100128265		0.088911	
5705	PSMC5	0.088791	
2110	ETFDH	0.088781	37
10057	ABCC5	0.088754	38
196	AHR	0.088737	39
54904	WHSC1L1	0.088729	
23332	CLASP1	0.088628	
58480	RHOU	0.088586	
8463	TEAD2	0.088461	
84126	ATRIP	0.088333	
26040	SETBP1	0.088298	
9108	MTMR7	0.088146	
4171	MCM2	0.088141	
22821	RASA3	0.088092	
64210	MMS19	0.087957	
7536	SF1	0.087847	
6175	RPLP0	0.087739	
9921	RNF10	0.087628	
51780	KDM3B	0.087588	
10987	COPS5	0.087538	
4303	FOXO4	0.087338	
54857	GDPD2	0.087205	
90293	KLHL13	0.087125	
57549	IGSF9	0.087103	
2332	FMR1	0.087093	
2934	GSN	0.086904	40
1054	CEBPG	0.086848	
10283	CWC27	0.086624	
66036	MTMR9	0.086622	
64425	POLR1E	0.086554	
217	ALDH2	0.086310	41
2975	GTF3C1	0.086238	
2516	NR5A1	0.086211	42
256329	C11orf35	0.086086	
9330	GTF3C3	0.086086	
2494	NR5A2	0.085961	
9443	MED7	0.085841	
4781	NFIB	0.085663	
1030	CDKN2B	0.085610	
11052	CPSF6	0.085562	
64282	PAPD5	0.085495	
6712	SPTBN2	0.085455	
728937		0.085431	
25920	NELFB	0.085401	
79004	CUEDC2	0.085233	
22938	SNW1	0.085223	
6908	TBP	0.085068	
9355	LHX2	0.085034	
3932	LCK	0.084812	43
245806	VGLL2	0.084802	
2146	EZH2	0.084732	
3798	KIF5A	0.084601	
25978	CHMP2B	0.084528	
91752	ZNF804A	0.084355	
1825	DSC3	0.084345	
10451	VAV3	0.084325	
3170	FOXA2	0.084323	
6656	SOX1	0.084217	
6654	SOS1	0.084114	
10813	UTP14A	0.084071	
85480	TSLP	0.084060	
10001	MED6	0.083837	
26152	ZNF337	0.083795	
151871	DPPA2	0.083589	
9686	VGLL4	0.083537	
727826		0.083392	
84245	MRI1	0.083243	
1786	DNMT1	0.083046	44
23031	MAST3	0.083018	
124801	LSM12	0.083015	
5468	PPARG	0.082907	45
55170	PRMT6	0.082903	
26054	SENP6	0.082846	
23215	PRRC2C	0.082835	
84295	PHF6	0.082795	
5292	PIM1	0.082755	46
4683	NBN	0.082745	
1005	CDH7	0.082742	
1016	CDH18	0.082742	
60488	MRPS35	0.082676	
100131713		0.082665	
7003	TEAD1	0.082528	
27125	AFF4	0.082486	
1499	CTNNB1	0.082453	47
10971	YWHAQ	0.082384	
54921	CHTF8	0.082360	
7421	VDR	0.082039	48
91653	BOC	0.081757	
8861	LDB1	0.081647	
10935	PRDX3	0.081574	
9730	VPRBP	0.081538	
8503	PIK3R3	0.081525	49
4162	MCAM	0.081361	
80205	CHD9	0.081326	
84861	KLHL22	0.081291	
9328	GTF3C5	0.081190	
4331	MNAT1	0.080939	
221656	KDM1B	0.080868	
23389	MED13L	0.080857	
55646	LYAR	0.080826	
10847	SRCAP	0.080745	
5294	PIK3CG	0.080739	50
7706	TRIM25	0.080699	
54496	PRMT7	0.080661	
9684	LRRC14	0.080564	
26263	FBXO22	0.080564	
64324	NSD1	0.080484	
55379	LRRC59	0.080423	
6776	STAT5A	0.080421	
6745	SSR1	0.080354	
354	KLK3	0.080320	
7391	USF1	0.080304	
9937	DCLRE1A	0.080051	
65080	MRPL44	0.079919	
51537	MTFP1	0.079903	
51105	PHF20L1	0.079832	
51230	PHF20	0.079832	
644315		0.079615	
8314	BAP1	0.079500	
83855	KLF16	0.079439	
23527	ACAP2	0.079274	
56895	AGPAT4	0.079269	
55612	FERMT1	0.079232	
85509	MBD3L1	0.079146	
3174	HNF4G	0.079123	51
79576	NKAP	0.079046	
1269	CNR2	0.079002	52
23097	CDK19	0.078972	
137835	TMEM71	0.078953	
8022	LHX3	0.078890	
84932	RAB2B	0.078854	
3976	LIF	0.078825	
23541	SEC14L2	0.078784	53
1745	DLX1	0.078779	
3068	HDGF	0.078779	
5670	PSG2	0.078779	
6988	TCTA	0.078779	
81629	TSSK3	0.078779	
646644		0.078634	
27043	PELP1	0.078472	
5596	MAPK4	0.078416	
57634	EP400	0.078328	
2314	FLII	0.078245	
55187	VPS13D	0.078008	
26228	STAP1	0.078006	
25793	FBXO7	0.077898	
84838	ZNF496	0.077858	
2784	GNB3	0.077851	
64077	LHPP	0.077752	
10657	KHDRBS1	0.077696	
636	BICD1	0.077450	
80139	ZNF703	0.077395	
84665	MYPN	0.077384	
51493	RTCB	0.077247	54
2803	GOLGA4	0.077158	
1019	CDK4	0.077132	55
3694	ITGB6	0.077105	
9139	CBFA2T2	0.077077	
4147	MATN2	0.077047	
6427	SRSF2	0.077019	
79650	USB1	0.076881	
4602	MYB	0.076874	
6258	RXRG	0.076846	56
1022	CDK7	0.076803	57
8295	TRRAP	0.076741	
1006	CDH8	0.076708	
1014	CDH16	0.076708	
7690	ZNF131	0.076708	
25794	FSCN2	0.076708	
26281	FGF20	0.076708	
29119	CTNNA3	0.076708	
83439	TCF7L1	0.076708	
84456	L3MBTL3	0.076708	
283149	BCL9L	0.076708	
3276	PRMT1	0.076653	58
8841	HDAC3	0.076567	59
8462	KLF11	0.076526	
114821	SCAND3	0.076523	
7494	XBP1	0.076421	
690		0.076418	
9961	MVP	0.076361	
7464	CORO2A	0.076300	
25942	SIN3A	0.076276	
2274	FHL2	0.076266	
6606	SMN1	0.076216	
80311	KLHL15	0.076213	
5981	RFC1	0.076148	
11335	CBX3	0.076118	
10733	PLK4	0.076046	
1004	CDH6	0.076040	
1007	CDH9	0.076040	
23022	PALLD	0.075922	
4892	NRAP	0.075836	
25821	MTO1	0.075805	
5626	PROP1	0.075800	
26135	SERBP1	0.075769	
100132779		0.075701	
55677	IWS1	0.075682	
1107	CHD3	0.075680	
55165	CEP55	0.075674	
22936	ELL2	0.075590	
394	ARHGAP5	0.075534	
547	KIF1A	0.075468	60
1261	CNGA3	0.075435	
7201	TRHR	0.075435	
26154	ABCA12	0.075353	
55904	KMT2E	0.075353	
6894	TARBP1	0.075257	
10491	CRTAP	0.075257	
5454	POU3F2	0.075141	
1015	CDH17	0.075139	
144402	CPNE8	0.075118	
25776	CBY1	0.074982	
27148	STK36	0.074959	
64965	MRPS9	0.074856	
8789	FBP2	0.074819	
79039	DDX54	0.074768	
6097	RORC	0.074679	
80351	TNKS2	0.074583	
79885	HDAC11	0.074567	
63948	DMRTB1	0.074560	
55585	UBE2Q1	0.074519	
7818	DAP3	0.074448	
8785	MATN4	0.074402	
4148	MATN3	0.074402	
4686	NCBP1	0.074372	
85015	USP45	0.074352	
51442	VGLL1	0.074346	
51428	DDX41	0.074293	
197257	LDHD	0.074275	
26585	GREM1	0.074129	
1180	CLCN1	0.074073	
64843	ISL2	0.073916	
3055	HCK	0.073868	61
9662	CEP135	0.073804	
177	AGER	0.073781	
8554	PIAS1	0.073769	
116983	ACAP3	0.073731	
3141	HLCS	0.073704	62
51248	PDZD11	0.073653	
1387	CREBBP	0.073497	63
8764	TNFRSF14	0.073433	
516	ATP5G1	0.073353	
80321	CEP70	0.073184	
79050	NOC4L	0.073172	
51193	ZNF639	0.073160	
359	AQP2	0.073060	
54960	GEMIN8	0.073052	
23067	SETD1B	0.073018	
9150	CTDP1	0.072959	
51316	PLAC8	0.072949	
7556	ZNF10	0.072892	
4878	NPPA	0.072860	
6257	RXRB	0.072720	64
90865	IL33	0.072694	
1727	CYB5R3	0.072672	65
116931	MED12L	0.072610	
3312	HSPA8	0.072489	66
29893	PSMC3IP	0.072457	
9889	ZBED4	0.072422	
22984	PDCD11	0.072354	
6732	SRPK1	0.072339	
25833	POU2F3	0.072246	
8863	PER3	0.072080	
10344	CCL26	0.072071	
83715	ESPN	0.072063	
345456	PFN3	0.072045	
5465	PPARA	0.071944	67
3066	HDAC2	0.071920	68
440689	HIST2H2BF	0.071867	
10217	CTDSPL	0.071858	
25873	RPL36	0.071826	
2317	FLNB	0.071791	
3221	HOXC4	0.071778	
5619	PRM1	0.071772	
9104	RGN	0.071673	
6749	SSRP1	0.071500	
7402	UTRN	0.071477	
8805	TRIM24	0.071471	
5126	PCSK2	0.071422	69
10233	LRRC23	0.071270	
23189	KANK1	0.071226	
55966	AJAP1	0.071164	
6230	RPS25	0.071079	
2537	IFI6	0.071048	
57801	HES4	0.071024	
9429	ABCG2	0.071015	70
1654	DDX3X	0.070858	
6778	STAT6	0.070680	
123920	CMTM3	0.070650	
346288	14-Sep	0.070570	
64761	PARP12	0.070560	
7111	TMOD1	0.070509	
4867	NPHP1	0.070481	
8313	AXIN2	0.070439	
57542	KLHL42	0.070404	
6553	SLC9A5	0.070389	
122769	LRR1	0.070385	
87	ACTN1	0.070352	
9188	DDX21	0.070335	
27156	RTDR1	0.070328	
7682		0.070197	
1382	CRABP2	0.070173	71
9107	MTMR6	0.070151	
1770	DNAH9	0.070113	
2846	LPAR4	0.070113	
5101	PCDH9	0.070113	
51384	WNT16	0.070113	
57337	SENP7	0.070113	
91734	IDI2	0.070113	
116337	PANX3	0.070113	
255877	BCL6B	0.070113	
162	AP1B1	0.070050	
132160	PPM1M	0.070026	
333926	PPM1J	0.070026	
408	ARRB1	0.069954	
55975	KLHL7	0.069948	
9524	TECR	0.069932	
8091	HMGA2	0.069926	
3430	IFI35	0.069909	
9646	CTR9	0.069796	
55147	RBM23	0.069762	
29994	BAZ2B	0.069726	
7071	KLF10	0.069635	
84337	ELOF1	0.069633	
57333	RCN3	0.069600	
6942	TCF20	0.069476	
284230		0.069426	
646079		0.069400	
2624	GATA2	0.069380	
404281	YY2	0.069332	
4676	NAP1L4	0.069309	
8638	OASL	0.069301	
5600	MAPK11	0.069292	
121227	LRIG3	0.069245	
8148	TAF15	0.069228	
1660	DHX9	0.069200	
9818	NUPL1	0.069164	
672	BRCA1	0.069142	
84779	NAA11	0.069137	
57621	ZBTB2	0.069100	
51503	CWC15	0.069079	
4089	SMAD4	0.069034	
3912	LAMB1	0.069011	
79651	RHBDF2	0.068917	
11340	EXOSC8	0.068870	
5082	PDCL	0.068847	
5536	PPP5C	0.068777	72
55131	RBM28	0.068775	
8450	CUL4B	0.068768	
134266	GRPEL2	0.068708	
8988	HSPB3	0.068678	
51635	DHRS7	0.068637	
647000		0.068568	
80168	MOGAT2	0.068566	
498	ATP5A1	0.068538	73
26164	MTG2	0.068512	
5924	RASGRF2	0.068499	
112574	SNX18	0.068471	
7791	ZYX	0.068413	
55530	SVOP	0.068401	
84823	LMNB2	0.068356	
55226	NAT10	0.068349	
9637	FEZ2	0.068345	
9169	SCAF11	0.068324	
940	CD28	0.068303	
9731	CEP104	0.068279	
3977	LIFR	0.068275	
57599	WDR48	0.068268	
7181	NR2C1	0.068251	
9457	FHL5	0.068079	
4488	MSX2	0.068032	
8673	VAMP8	0.068004	
55749	CCAR1	0.068000	
3217	HOXB7	0.067951	
6667	SP1	0.067889	
10472	ZBTB18	0.067703	
285315	C3orf33	0.067638	
80063	ATF7IP2	0.067601	
3698	ITIH2	0.067550	
22826	DNAJC8	0.067439	
28908		0.067392	
7520	XRCC5	0.067317	
3575	IL7R	0.067311	
23186	RCOR1	0.067224	
3003	GZMK	0.067206	
10474	TADA3	0.067201	
25972	UNC50	0.067078	
25802	LMOD1	0.067062	
5241	PGR	0.067017	74
2042	EPHA3	0.067010	
8732	RNGTT	0.067010	75
9021	SOCS3	0.066982	
6737	TRIM21	0.066863	
9844	ELMO1	0.066833	
80114	BICC1	0.066821	
4973	OLR1	0.066748	
25871	C3orf17	0.066742	
388474		0.066731	
5927	KDM5A	0.066710	
668	FOXL2	0.066635	
7566	ZNF18	0.066635	
9923	ZBTB40	0.066635	
55552	ZNF823	0.066635	
147686	ZNF418	0.066635	
163050	ZNF564	0.066635	
441531	PGAM4	0.066635	
91748	ELMSAN1	0.066619	
126272	EID2B	0.066618	
5982	RFC2	0.066614	
55892	MYNN	0.066601	
326	AIRE	0.066596	
84966	IGSF21	0.066595	
7337	UBE3A	0.066587	
1264	CNN1	0.066582	
1001	CDH3	0.066466	
8243	SMC1A	0.066442	
3054	HCFC1	0.066331	
261734	NPHP4	0.066311	
2959	GTF2B	0.066309	
10140	TOB1	0.066254	
55193	PBRM1	0.066155	
10957	PNRC1	0.066144	
10174	SORBS3	0.066137	
8028	MLLT10	0.066057	
6801	STRN	0.066045	
3572	IL6ST	0.066044	
57658	CALCOCO1	0.066036	
147179	WIPF2	0.065998	
8048	CSRP3	0.065995	
10771	ZMYND11	0.065985	
4762	NEUROG1	0.065866	
9669	EIF5B	0.065809	
652522		0.065806	
5293	PIK3CD	0.065778	76
3006	HIST1H1C	0.065775	
386618	KCTD4	0.065711	
6096	RORB	0.065688	77
64219	PJA1	0.065642	
5083	PAX9	0.065639	
58533	SNX6	0.065636	
79159	NOL12	0.065478	
2275	FHL3	0.065208	
4261	CIITA	0.065163	
53826	FXYD6	0.065162	
729340		0.065156	
728458	OPN1MW2	0.065142	
533	ATP6V0B	0.065113	
9857	CEP350	0.065015	
9966	TNFSF15	0.065011	
8718	TNFRSF25	0.064961	
8500	PPFIA1	0.064854	
23670	TMEM2	0.064852	
55130	ARMC4	0.064852	
57690	TNRC6C	0.064852	
158787	RIBC1	0.064852	
162966	ZNF600	0.064852	
79792	GSDMD	0.064852	
4619	MYH1	0.064732	
5915	RARB	0.064667	78
137735	ABRA	0.064626	
7840	ALMS1	0.064509	
84717		0.064509	
140885	SIRPA	0.064508	
283248	RCOR2	0.064500	
23223	RRP12	0.064499	
6621	SNAPC4	0.064469	
83440	ADPGK	0.064455	
57535	KIAA1324	0.064442	
55152	DALRD3	0.064376	
79132	DHX58	0.064350	
4637	MYL6	0.064310	
627	BDNF	0.064227	
7707	ZNF148	0.064214	
51111	SUV420H1	0.064180	
2077	ERF	0.064158	
9085	CDY1	0.064149	
8000	PSCA	0.064147	
30848	CTAG2	0.064147	
23093	TTLL5	0.064123	
391104	VHLL	0.064122	
548313	SSX4B	0.064122	
9656	MDC1	0.064113	
221662	RBM24	0.064098	
9696	CROCC	0.064058	
3308	HSPA4	0.064048	
5916	RARG	0.064041	79
112950	MED8	0.064000	
203611	CDY2B	0.063952	
23217	ZFR2	0.063907	
10927	SPIN1	0.063900	
4122	MAN2A2	0.063877	
140685	ZBTB46	0.063877	
3429	IFI27	0.063874	
2310		0.063796	
400569	MED11	0.063684	
54715	RBFOX1	0.063629	
54820	NDE1	0.063620	
55958	KLHL9	0.063563	
3704	ITPA	0.063497	80
6907	TBL1X	0.063421	
9759	HDAC4	0.063411	81
80230	RUFY1	0.063367	
5243	ABCB1	0.063261	82
8233	ZRSR2	0.063244	
5597	MAPK6	0.063154	
127262	TPRG1L	0.063127	
758	MPPED1	0.063114	
60	ACTB	0.063099	
195814	SDR16C5	0.063093	
8340	HIST1H2BL	0.063066	
7184	HSP90B1	0.063039	83
997	CDC34	0.063001	
9975	NR1D2	0.062996	
84246	MED10	0.062943	
55502	HES6	0.062938	
9315	NREP	0.062901	
6722	SRF	0.062852	
81502	HM13	0.062669	
728380		0.062458	
10287	RGS19	0.062434	
9230	RAB11B	0.062407	
79586	CHPF	0.062400	
84108	PCGF6	0.062336	
23016	EXOSC7	0.062293	
51490	C9orf114	0.062281	
5239	PGM5	0.062058	
27253	PCDH17	0.062048	
7507	XPA	0.062037	
57017	COQ9	0.062027	
79894	ZNF672	0.062026	
83642		0.061948	
2118	ETV4	0.061944	
81839	VANGL1	0.061909	
256364	EML3	0.061779	
3727	JUND	0.061710	
6369	CCL24	0.061680	
1121	CHM	0.061638	84
7182	NR2C2	0.061562	
10807	SDCCAG3	0.061487	
1996	ELAVL4	0.061471	
64403	CDH24	0.061437	
222255	ATXN7L1	0.061420	
1026	CDKN1A	0.061372	
527	ATP6V0C	0.061359	
84662	GLIS2	0.061281	
55179	FAIM	0.061238	
84315	MON1A	0.061224	
8940	TOP3B	0.061168	
